,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
17,ORAI,2020,Bangalore,IT startup,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,"$400,000",Pre-series A
18,ixamBee,2016,New Delhi,EdTech,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha","$300,000",Seed
19,CoinSwitch Kuber,2017,Bangalore,FinTech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah","$25,000,000",Series B
20,Razorpay,2014,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC","$160,000,000",Series E
21,Uable,2020,Bangalore,EdTech,Uable offers role based programmes to empower children to explore different domains.,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",Undisclosed,Seed
22,ZFW Hospitality,2015,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO","$150,000",Pre-seed
23,Optimized Electrotech,2017,Ahmadabad,Aeorspace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,"$1,800,000",Pre-series A
24,Northern Arc,2008,Chennai,FinTech,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,Kshama Fernandes,"Kotak Mahindra Bank, FMO","$5,000,000",
25,Chara,2019,Bangalore,Deep Tech,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,"$850,000",Seed
26,Sirona Hygiene,2015,New Delhi,HealthTech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund","$3,000,000",Series A
27,Pristyn Care,2018,Gurugram,HealthTech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures","$53,000,000",Series D
28,TrulyMadly,2013,New Delhi,Dating,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor","$2,000,000",Pre-series A
29,Vidyakul,2018,,EdTech,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV","$500,000",Seed
30,Jambox Games,2021,Bangalore,Gaming,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Ravi Vyas,,"$1,100,000",Seed
31,Miko,2015,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Chiratae Ventures, YourNest Venture Capital","$6,000,000",
32,SuperK,2019,"Small Towns, Andhra Pradesh",Retail,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVE VC,"$800,000",Seed
33,TagZ Foods,2019,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,"$500,000",Pre-series A
34,Fuel Buddy,2017,New Delhi,Oil and Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Aditya Singh,Jaipuria Family Office,"$1,000,000",
35,M1xchange,2017,Gurugram,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,Amazon,"$10,000,000",
36,Spintly,2017,Goa,Tech Startup,Wireless cloud based access control platform,Rohin Parkar,Riso Capital,"$500,000",
37,EF Polymer,2018,Rajsamand,AgriTech,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTG Ventures,"$200,000",
38,boAt,2016,New Delhi,Electronics,boAt is a consumer electronics and lifestyle company.,"Aman Gupta, Sameer Mehta","Qualcomm Ventures, Warburg Pincus","$6,000,000",
39,TruNativ,2019,Mumbai,Food & Beverages,TruNativ Foods & Beverages Pvt Ltd,"Pranav Malhotra, Mamta Malhotra",9Unicorns,Undisclosed,Seed
40,iBus,2010,Bangalore,Telecommuncation,iBus Networks is an in-building connectivity solutions company,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",Morgan Stanley,"$21,000,000",
41,Puresh Daily,2019,Ranchi,Milk startup,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners","$100,000",Seed
42,LearnVern,2016,Ahmadabad,EdTech,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",,"$1,000,000",
43,LimeChat,2020,"Faridabad, Haryana",AI Chatbot,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma","$7,500,000",Seed
44,Dybo,2019,Bangalore,IT,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,"$100,000",Seed
45,moEVing,2021,Gurugram,Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",VIKASH MISHRA,,"$1,000,000",Seed
46,WeWork India,2017,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Karan Virwani,,"$26,000,000",
47,Solethreads,2018,Gurugram,Fashion,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,Vikram Iyer,"DSG Consumer Partners, Saama Capital","$1,000,000",Series A
48,Beldara,2018,Mumbai,E-commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,"$7,400,000",
49,CredFlow,2020,New Delhi,FinTech,CredFlow provides financial solutions to automate your cashflows.,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures","$2,000,000",Seed
50,Do Your Thng,2018,Gurugram,Marketing,World's first shared economy platform for digital assets.,Ankit Agarwal,"Angelbay Holdings, Faad Network","$1,500,000",
51,Oye Rickshaw,2017,Gurugram,Transportation,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures","$3,000,000",
52,Legitquest,2017,New Delhi,LegalTech,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge","$600,000",
53,Swiggy,2014,Bangalore,Food delivery,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Carmignac, Falcon Edge Capital","$800,000,000",
54,AntWak,2019,Bangalore,EdTech,AntWak provides a video platform for e-learning service.,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman","Vaibhav Domkundwar, Kunal Shah",Undisclosed,Seed
55,PlayShifu,2016,Bangalore,EdTech,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund","$17,000,000",Series B
56,Pitstop,2015,Bangalore,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture","$3,500,000",Pre-series B
57,Lendingkart,1999,Gujarat,FinTech,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings","$15,000,000",Debt
58,CRED,2018,Bangalore,FinTech,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management","$215,000,000",Series D
59,Karnival,2015,Bangalore,SaaS startup,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,http://100x.vc/,"$2,500,000",Seed
60,PharmEasy,2015,Mumbai,HealthTech,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","Dharmil Sheth, Dhaval Shah, Mikhil Innani","TPG Growth, Caisse de Depot et Placement du Quebec","$350,000,000",Series E
61,WESS,1989,Mumbai,Renewable Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Hitesh Doshi,Centrum Financial Services,"$2,000,000",Seed
62,ShopSe,2020,Mumbai,FinTech,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT","$5,500,000",
63,Fantasy Akhada,2020,Gurugram,Fantasy sports,Fantasy Akhada offers fantasy sports platform for cricket and football.,Amit Purohit,Harsha Bhogle,"$600,000",
64,Rage Coffee,2018,New Delhi,Food & Beverages,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,Bharat Sethi,"GetVantage, Prakash Katama",Undisclosed,Pre-series A
65,Groww,2017,Bangalore,FinTech,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund","$83,000,000",Series D
66,Avanti Finance,2016,Bangalore,FinTech,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,"Ratan Tata, Nandan Nilekani",Michael & Susan Dell Foundation,"$26,000,000",Series A
67,Kudos,2014,Pune,FinTech,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",Naresh Vigh,Marquee fintech founders,Undisclosed,Pre-series A
68,OfBusiness,2015,Gurugram,FinTech,OfBusiness is a financing platform that offers smart financing to SMEs.,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Falcon Edge India, Norwest Venture Partners","$110,000,000",
69,Superpro.ai,2019,Bangalore,Video communication,Enabling independent professionals to bring offline consulting online with AI,"Gaurav Tripathi, Sagar Ramteke, Vijay Goel, Vivek Kumar","SOSV, Omphalos Ventures India","$3,000,000",Seed
70,ShareChat,2015,Bangalore,Social Media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Twitter Ventures, Pawan Munjal","$500,000,000",
71,WiT-ACE,2020,Gurugram,Skill development,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",Anuranjita Kumar,CitiusTech,"$1,000,000",Seed
72,Spinny,2015,Gurugram,Retail,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments","$65,000,000",Series C
73,Alteria Capital,2018,Mumbai,FinTech,Alteria Capital is a Venture debt firm .,Vinod Murali,,"$150,000,000,000",Debt
74,Safexpay,2017,Thane,FinTech,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,Ravi Gupta,"T Choithrams BVI, Ardor","$6,000,000",
75,PumPumPum,2018,Gurugram,Rental,Pumpumpum is a car rental company.,"Tarun Lawadia, Sameer Kalra","Kogta Financial India Limited, ICICI Bank","$700,000",Pre-series A
76,Speciale Invest,2017,Bangalore,FinTech,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,"Vishesh Rajaram, Arjun Rao",,"$10,000,000",
77,Eunimart,2016,Hyderabad,E-commerce,Eunimart is a one stop solution for merchants to create a difference by selling globally.,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt","$700,000",Pre-series A
78,Meesho,2015,Bangalore,E-commerce,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway","$300,000,000",
79,CareerLabs,2019,Bangalore,EdTech,"Aim to help students become future-ready, setting them on a path to success that suits them best.","PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,"$2,200,000",
80,Uable,2020,Bangalore,EdTech,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,Saurabh saxena,"JAFCO Asia, Chiratae Ventures","$35,000,000",Pre-series A
81,Zoko,2016,Bangalore,Tech Startup,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.","Arjun Paul, Aromal Sivadasan",Y Combinator,"$140,000,000",Seed
82,GetWork,2019,Gurugram,Recruitment,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,Artha Venture Fund,"$200,000",Seed
83,Easebuzz,2015,Pune,E-commerce,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,Rohit Prasad,"Jitendra Gupta, Amrish Rau","$4,000,000",Series A
84,Chingari,2018,Bangalore,Social Media,Chingari operates as a short video platform.,Sumit Ghosh,"FJ Labs, Brian Norgard","$13,000,000",
85,DusMinute,2017,Bangalore,Retail,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Apoorva Mishra,Indian Angel Network,"$1,100,000",Pre-series A
86,Onsurity,2020,Bangalore,HealthCare,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,"Kulin Shah, Yogesh Agarwal","Jitendra Gupta, Harsh Shah",,
